date,year,week,team,score,opponent,elo,glicko2
2000-09-03,2000,1,Minnesota Vikings,1.0,Chicago Bears,1516.0,1662.310893906298
2000-09-03,2000,1,Chicago Bears,0.0,Minnesota Vikings,1484.736306793522,1337.689106093702
2000-09-03,2000,1,Indianapolis Colts,1.0,Kansas City Chiefs,1515.263693206478,1662.310893906298
2000-09-03,2000,1,Kansas City Chiefs,0.0,Indianapolis Colts,1484.0,1337.689106093702
2000-09-03,2000,1,Washington Redskins,1.0,Carolina Panthers,1516.0,1662.310893906298
2000-09-03,2000,1,Carolina Panthers,0.0,Washington Redskins,1484.736306793522,1337.689106093702
2000-09-03,2000,1,Atlanta Falcons,1.0,San Francisco 49ers,1516.0,1662.310893906298
2000-09-03,2000,1,San Francisco 49ers,0.0,Atlanta Falcons,1484.736306793522,1337.689106093702
2000-09-03,2000,1,Jacksonville Jaguars,1.0,Cleveland Browns,1515.263693206478,1662.310893906298
2000-09-03,2000,1,Cleveland Browns,0.0,Jacksonville Jaguars,1484.0,1337.689106093702
2000-09-03,2000,1,Tampa Bay Buccaneers,1.0,New England Patriots,1515.263693206478,1662.310893906298
2000-09-03,2000,1,New England Patriots,0.0,Tampa Bay Buccaneers,1484.0,1337.689106093702
2000-09-03,2000,1,Baltimore Ravens,1.0,Pittsburgh Steelers,1515.263693206478,1662.310893906298
2000-09-03,2000,1,Pittsburgh Steelers,0.0,Baltimore Ravens,1484.0,1337.689106093702
2000-09-03,2000,1,Detroit Lions,1.0,New Orleans Saints,1515.263693206478,1662.310893906298
2000-09-03,2000,1,New Orleans Saints,0.0,Detroit Lions,1484.0,1337.689106093702
2000-09-03,2000,1,New York Giants,1.0,Arizona Cardinals,1516.0,1662.310893906298
2000-09-03,2000,1,Arizona Cardinals,0.0,New York Giants,1484.736306793522,1337.689106093702
2000-09-03,2000,1,Philadelphia Eagles,1.0,Dallas Cowboys,1515.263693206478,1662.310893906298
2000-09-03,2000,1,Dallas Cowboys,0.0,Philadelphia Eagles,1484.0,1337.689106093702
2000-09-03,2000,1,Oakland Raiders,1.0,San Diego Chargers,1516.0,1662.310893906298
2000-09-03,2000,1,San Diego Chargers,0.0,Oakland Raiders,1484.736306793522,1337.689106093702
2000-09-03,2000,1,Miami Dolphins,1.0,Seattle Seahawks,1516.0,1662.310893906298
2000-09-03,2000,1,Seattle Seahawks,0.0,Miami Dolphins,1484.736306793522,1337.689106093702
2000-09-03,2000,1,New York Jets,1.0,Green Bay Packers,1515.263693206478,1662.310893906298
2000-09-03,2000,1,Green Bay Packers,0.0,New York Jets,1484.0,1337.689106093702
2000-09-03,2000,1,Buffalo Bills,1.0,Tennessee Titans,1516.0,1662.310893906298
2000-09-03,2000,1,Tennessee Titans,0.0,Buffalo Bills,1484.736306793522,1337.689106093702
2000-09-04,2000,1,St. Louis Rams,1.0,Denver Broncos,1516.0,1662.310893906298
2000-09-04,2000,1,Denver Broncos,0.0,St. Louis Rams,1484.736306793522,1337.689106093702
2000-09-10,2000,2,Minnesota Vikings,1.0,Miami Dolphins,1532.0,1791.9345507008836
2000-09-10,2000,2,Miami Dolphins,0.0,Minnesota Vikings,1500.736306793522,1532.6872371117122
2000-09-10,2000,2,Cleveland Browns,1.0,Cincinnati Bengals,1499.9660918698307,1502.5491476857724
2000-09-10,2000,2,Cincinnati Bengals,0.0,Cleveland Browns,1483.263693206478,1268.1151010042213
2000-09-10,2000,2,Oakland Raiders,1.0,Indianapolis Colts,1531.2314181019374,1791.9345507008836
2000-09-10,2000,2,Indianapolis Colts,0.0,Oakland Raiders,1499.2976013366472,1532.6872371117122
2000-09-10,2000,2,Buffalo Bills,1.0,Green Bay Packers,1530.5304984710244,1720.3171984281494
2000-09-10,2000,2,Green Bay Packers,0.0,Buffalo Bills,1470.130088718727,1279.6828015718506
2000-09-10,2000,2,Tampa Bay Buccaneers,1.0,Chicago Bears,1529.86146177277,1720.3171984281494
2000-09-10,2000,2,Chicago Bears,0.0,Tampa Bay Buccaneers,1470.8027902014453,1279.6828015718506
2000-09-10,2000,2,Baltimore Ravens,1.0,Jacksonville Jaguars,1531.263693206478,1791.9345507008836
2000-09-10,2000,2,Jacksonville Jaguars,0.0,Baltimore Ravens,1500.0,1532.6872371117122
2000-09-10,2000,2,New York Giants,1.0,Philadelphia Eagles,1531.2314181019374,1791.9345507008836
2000-09-10,2000,2,Philadelphia Eagles,0.0,New York Giants,1499.2976013366472,1532.6872371117122
2000-09-10,2000,2,Tennessee Titans,1.0,Kansas City Chiefs,1500.7023986633528,1467.3127628882878
2000-09-10,2000,2,Kansas City Chiefs,0.0,Tennessee Titans,1468.7685818980626,1208.0654492991164
2000-09-10,2000,2,Carolina Panthers,1.0,San Francisco 49ers,1500.0,1467.3127628882878
2000-09-10,2000,2,San Francisco 49ers,0.0,Carolina Panthers,1468.736306793522,1208.0654492991164
2000-09-10,2000,2,New Orleans Saints,1.0,San Diego Chargers,1499.2959743170234,1467.3127628882878
2000-09-10,2000,2,San Diego Chargers,0.0,New Orleans Saints,1468.7023986633528,1208.0654492991164
2000-09-10,2000,2,St. Louis Rams,1.0,Seattle Seahawks,1529.9017057911524,1720.3171984281494
2000-09-10,2000,2,Seattle Seahawks,0.0,St. Louis Rams,1470.1721796717984,1279.6828015718506
2000-09-10,2000,2,Denver Broncos,1.0,Atlanta Falcons,1502.1721796717984,1566.9398907300822
2000-09-10,2000,2,Atlanta Falcons,0.0,Denver Broncos,1499.3635413584034,1433.0601092699178
2000-09-10,2000,2,Detroit Lions,1.0,Washington Redskins,1531.2976013366472,1791.9345507008836
2000-09-10,2000,2,Washington Redskins,0.0,Detroit Lions,1500.7040256829766,1532.6872371117122
2000-09-10,2000,2,Arizona Cardinals,1.0,Dallas Cowboys,1500.7023986633528,1467.3127628882878
2000-09-10,2000,2,Dallas Cowboys,0.0,Arizona Cardinals,1468.7685818980626,1208.0654492991164
2000-09-11,2000,2,New York Jets,1.0,New England Patriots,1529.8278203282016,1720.3171984281494
2000-09-11,2000,2,New England Patriots,0.0,New York Jets,1470.0982942088476,1279.6828015718506
2000-09-17,2000,3,Jacksonville Jaguars,1.0,Cincinnati Bengals,1515.2298601853572,1585.7281860890669
2000-09-17,2000,3,Cincinnati Bengals,0.0,Jacksonville Jaguars,1468.7316497961992,1201.5965115424735
2000-09-17,2000,3,Atlanta Falcons,1.0,Carolina Panthers,1514.6551377968237,1556.184900546912
2000-09-17,2000,3,Carolina Panthers,0.0,Atlanta Falcons,1483.970690029177,1354.704605071616
2000-09-17,2000,3,Cleveland Browns,1.0,Pittsburgh Steelers,1515.231343303457,1575.931219456912
2000-09-17,2000,3,Pittsburgh Steelers,0.0,Cleveland Browns,1469.4343950958937,1248.509238985001
2000-09-17,2000,3,Green Bay Packers,1.0,Philadelphia Eagles,1487.4701556419077,1465.675638860912
2000-09-17,2000,3,Philadelphia Eagles,0.0,Green Bay Packers,1482.7531376377103,1364.8837410182875
2000-09-17,2000,3,St. Louis Rams,1.0,San Francisco 49ers,1543.1136788025867,1745.061957778641
2000-09-17,2000,3,San Francisco 49ers,0.0,St. Louis Rams,1456.1101293627057,1185.0001070215121
2000-09-17,2000,3,New York Jets,1.0,Buffalo Bills,1545.8601798084173,1833.2961190560438
2000-09-17,2000,3,Buffalo Bills,0.0,New York Jets,1515.2359986263,1607.338277800255
2000-09-17,2000,3,Tampa Bay Buccaneers,1.0,Detroit Lions,1545.1881234495622,1853.64906602211
2000-09-17,2000,3,Detroit Lions,0.0,Tampa Bay Buccaneers,1515.2314650422938,1670.2349604656347
2000-09-17,2000,3,New York Giants,1.0,Chicago Bears,1543.8885814217917,1814.9998929784879
2000-09-17,2000,3,Chicago Bears,0.0,New York Giants,1457.5579057404607,1254.938042221359
2000-09-17,2000,3,Denver Broncos,1.0,Oakland Raiders,1518.7118906406893,1744.7225949003919
2000-09-17,2000,3,Oakland Raiders,0.0,Denver Broncos,1513.8963025413602,1631.238179615469
2000-09-17,2000,3,Kansas City Chiefs,1.0,San Diego Chargers,1484.7655340475064,1313.718800067505
2000-09-17,2000,3,San Diego Chargers,0.0,Kansas City Chiefs,1453.4416067670857,1102.4120985307277
2000-09-17,2000,3,Minnesota Vikings,1.0,New England Patriots,1544.5952364376117,1814.9998929784879
2000-09-17,2000,3,New England Patriots,0.0,Minnesota Vikings,1456.9191876159216,1254.938042221359
2000-09-17,2000,3,Seattle Seahawks,1.0,New Orleans Saints,1487.510247409608,1446.4549315790468
2000-09-17,2000,3,New Orleans Saints,0.0,Seattle Seahawks,1482.7534296223548,1316.190956438716
2000-09-17,2000,3,Miami Dolphins,1.0,Baltimore Ravens,1518.13853822723,1705.5955011513677
2000-09-17,2000,3,Baltimore Ravens,0.0,Miami Dolphins,1514.6595448524308,1619.0262866612281
2000-09-18,2000,3,Dallas Cowboys,1.0,Washington Redskins,1485.4345139848747,1397.622499294788
2000-09-18,2000,3,Washington Redskins,0.0,Dallas Cowboys,1483.237472050366,1343.1301871160406
2000-09-24,2000,4,Tennessee Titans,1.0,Pittsburgh Steelers,1514.6039182809034,1527.5650976059178
