,week,day,date,time,at_value,boxscore,season_year,home_team,away_team,is_winner,team,opponent,week_team_opponent,glicko2_rating,elo_rating
0,1,Sun,2000-09-03,1:00PM,,boxscore,2000,Minnesota Vikings,Chicago Bears,True,Minnesota Vikings,Chicago Bears,2000-1-Minnesota Vikings-Chicago Bears,1662.3108948049444,1506.0
1,1,Sun,2000-09-03,1:00PM,@,boxscore,2000,Kansas City Chiefs,Indianapolis Colts,True,Indianapolis Colts,Kansas City Chiefs,2000-1-Indianapolis Colts-Kansas City Chiefs,1662.3108948049444,1506.0
2,1,Sun,2000-09-03,1:01PM,,boxscore,2000,Washington Redskins,Carolina Panthers,True,Washington Redskins,Carolina Panthers,2000-1-Washington Redskins-Carolina Panthers,1662.3108948049444,1506.0
3,1,Sun,2000-09-03,1:02PM,,boxscore,2000,Atlanta Falcons,San Francisco 49ers,True,Atlanta Falcons,San Francisco 49ers,2000-1-Atlanta Falcons-San Francisco 49ers,1662.3108948049444,1506.0
4,1,Sun,2000-09-03,1:02PM,@,boxscore,2000,Cleveland Browns,Jacksonville Jaguars,True,Jacksonville Jaguars,Cleveland Browns,2000-1-Jacksonville Jaguars-Cleveland Browns,1662.3108948049444,1506.0
5,1,Sun,2000-09-03,1:02PM,@,boxscore,2000,New England Patriots,Tampa Bay Buccaneers,True,Tampa Bay Buccaneers,New England Patriots,2000-1-Tampa Bay Buccaneers-New England Patriots,1662.3108948049444,1506.0
6,1,Sun,2000-09-03,1:02PM,@,boxscore,2000,Pittsburgh Steelers,Baltimore Ravens,True,Baltimore Ravens,Pittsburgh Steelers,2000-1-Baltimore Ravens-Pittsburgh Steelers,1662.3108948049444,1506.0
7,1,Sun,2000-09-03,1:03PM,@,boxscore,2000,New Orleans Saints,Detroit Lions,True,Detroit Lions,New Orleans Saints,2000-1-Detroit Lions-New Orleans Saints,1662.3108948049444,1506.0
8,1,Sun,2000-09-03,1:04PM,,boxscore,2000,New York Giants,Arizona Cardinals,True,New York Giants,Arizona Cardinals,2000-1-New York Giants-Arizona Cardinals,1662.3108948049444,1506.0
9,1,Sun,2000-09-03,4:05PM,@,boxscore,2000,Dallas Cowboys,Philadelphia Eagles,True,Philadelphia Eagles,Dallas Cowboys,2000-1-Philadelphia Eagles-Dallas Cowboys,1662.3108948049444,1506.0
10,1,Sun,2000-09-03,4:15PM,,boxscore,2000,Oakland Raiders,San Diego Chargers,True,Oakland Raiders,San Diego Chargers,2000-1-Oakland Raiders-San Diego Chargers,1662.3108948049444,1506.0
11,1,Sun,2000-09-03,4:16PM,,boxscore,2000,Miami Dolphins,Seattle Seahawks,True,Miami Dolphins,Seattle Seahawks,2000-1-Miami Dolphins-Seattle Seahawks,1662.3108948049444,1506.0
12,1,Sun,2000-09-03,4:20PM,@,boxscore,2000,Green Bay Packers,New York Jets,True,New York Jets,Green Bay Packers,2000-1-New York Jets-Green Bay Packers,1662.3108948049444,1506.0
13,1,Sun,2000-09-03,8:35PM,,boxscore,2000,Buffalo Bills,Tennessee Titans,True,Buffalo Bills,Tennessee Titans,2000-1-Buffalo Bills-Tennessee Titans,1662.3108948049444,1506.0
14,1,Mon,2000-09-04,9:07PM,,boxscore,2000,St. Louis Rams,Denver Broncos,True,St. Louis Rams,Denver Broncos,2000-1-St. Louis Rams-Denver Broncos,1662.3108948049444,1506.0
15,2,Sun,2000-09-10,12:00PM,,boxscore,2000,Minnesota Vikings,Miami Dolphins,True,Minnesota Vikings,Miami Dolphins,2000-2-Minnesota Vikings-Miami Dolphins,1791.9345543778736,1512.0
16,2,Sun,2000-09-10,1:00PM,@,boxscore,2000,Cincinnati Bengals,Cleveland Browns,True,Cleveland Browns,Cincinnati Bengals,2000-2-Cleveland Browns-Cincinnati Bengals,1502.549146987001,1499.896393970147
